#MasterID Mag Magerr RA Dec MJD Blend
1123012062523 17.50 0.09 35.38890 25.21334 54394.36372 0
1123012062523 17.43 0.09 35.38889 25.21316 54394.37138 0
1123012062523 17.41 0.09 35.38889 25.21320 54394.37905 0
1123012062523 17.39 0.09 35.38888 25.21314 54394.38672 0
1123012062523 17.46 0.10 35.38891 25.21332 54353.34372 0
1123012062523 17.35 0.09 35.38895 25.21334 54353.35256 0
1123012062523 17.43 0.09 35.38875 25.21327 54353.36140 0
1123012062523 17.37 0.09 35.38887 25.21334 54353.37029 0
1123012062523 17.48 0.10 35.38890 25.21326 54362.27643 0
1123012062523 17.48 0.10 35.38871 25.21333 54362.28316 0
1123012062523 17.51 0.10 35.38882 25.21334 54362.28973 0
1123012062523 17.53 0.10 35.38868 25.21321 54362.29640 0
1123012062523 17.41 0.09 35.38886 25.21317 54831.22571 0
1123012062523 17.41 0.09 35.38868 25.21324 54831.23466 0
1123012062523 17.35 0.09 35.38869 25.21328 54831.24366 0
1123012062523 17.37 0.09 35.38888 25.21325 54831.25266 0
1123012062523 17.46 0.09 35.38874 25.21316 54502.12149 0
1123012062523 17.37 0.09 35.38875 25.21333 54502.12765 0
1123012062523 17.41 0.09 35.38886 25.21316 54502.13381 0
1123012062523 17.43 0.09 35.38879 25.21325 54502.13995 0
1123012062523 17.45 0.10 35.38881 25.21331 54514.15147 0
1123012062523 17.46 0.10 35.38860 25.21333 54514.15639 0
1123012062523 17.65 0.10 35.38880 25.21322 54514.16136 0
1123012062523 17.38 0.09 35.38883 25.21349 54514.16627 0
1123012062523 17.45 0.09 35.38881 25.21321 54476.13548 0
1123012062523 17.43 0.09 35.38877 25.21328 54476.14145 0
1123012062523 17.28 0.09 35.38892 25.21316 54476.14741 0
1123012062523 17.52 0.09 35.38879 25.21320 54476.15340 0
1123012062523 17.46 0.09 35.38878 25.21329 54495.13618 0
1123012062523 17.39 0.09 35.38875 25.21324 54495.14301 0
1123012062523 17.41 0.09 35.38871 25.21342 54495.14985 0
1123012062523 17.36 0.09 35.38886 25.21329 54495.15667 0
1123012062523 17.40 0.09 35.38887 25.21322 54773.27371 0
1123012062523 17.41 0.09 35.38889 25.21331 54773.27984 0
1123012062523 17.34 0.09 35.38874 25.21331 54773.28592 0
