#_RAJ2000,_DEJ2000,DE2000,RA2000,HD,Pol,e_Pol,PA,e_PA,GLON,GLAT,PolRefs
43.51007,-35.9042,-35 54 15.1,02 54 02.416,18168.0,0.044,0.027,156.4,17.1,239.2415,-62.5704,0000000100000000000000
149.7181,-35.8909,-35 53 27.2,09 58 52.342,86629.0,0.07,0.035,81.5,14.0,267.9369,14.9978,0000000000001000000000
256.6996,-35.8875,-35 53 15.0,17 06 47.902,154407.0,0.38,0.1,88.9,7.5,349.6605,2.9,0000000000000100000000
118.54588,-35.8772,-35 52 37.9,07 54 11.012,64802.0,0.17,0.1,40.6,16.4,251.475,-4.1434,0000000000000100000000
260.21085,-35.8627,-35 51 45.7,17 20 50.608,319702.0,3.33,0.1,140.2,0.9,351.3466,0.6077,0000000000000100000000
152.3837,-35.8568,-35 51 24.5,10 09 32.087,88218.0,0.02,0.035,38.9,41.2,269.6819,16.3556,0000000000001000000000
261.1537,-35.8388,-35 50 19.7,17 24 36.886,157400.0,1.51,0.1,145.3,1.9,351.7992,-0.0086,0000000000000100000000
260.74774,-35.8018,-35 48 06.5,17 22 59.459,319729.0,2.63,0.1,7.3,1.1,351.644,0.2841,0000000000000100000000
265.57526,-35.8011,-35 48 04.0,17 42 18.061,160575.0,1.81,0.1,6.9,1.6,353.7812,-2.9966,0000000000000100000000
256.77148,-35.7589,-35 45 32.0,17 07 05.153,154450.0,1.001,0.201,90.2,5.7,349.7985,2.9305,0000000000000100010000
259.09033,-35.7494,-35 44 57.8,17 16 21.680,155974.0,0.03,0.035,37.4,30.3,350.9167,1.4163,0000000000001000000000
197.40285,-35.7441,-35 44 38.8,13 09 36.680,114225.0,0.1,0.073,39.3,20.1,307.0693,26.9816,0000000000001000000000
124.10314,-35.7393,-35 44 21.5,08 16 24.755,0.0,2.65,0.1,109.0,1.1,253.7723,-0.2631,0000000000000100000000
123.82153,-35.7374,-35 44 14.6,08 15 17.168,0.0,1.54,0.1,116.2,1.9,253.6433,-0.4518,0000000000000100000000
142.88722,-35.7143,-35 42 51.5,09 31 32.934,82514.0,0.05,0.04,52.6,21.8,263.5594,11.4539,0000000001000000000000
259.87674,-35.71,-35 42 36.0,17 19 30.418,319699.0,1.11,0.1,146.8,2.6,351.317,0.9174,0000000000000100000000
250.1577,-35.6871,-35 41 13.6,16 40 37.848,150151.0,1.18,0.1,95.9,2.4,346.47,7.1538,0000000000000100000000
42.66835,-35.6757,-35 40 32.5,02 50 40.405,17829.0,0.018,0.014,76.5,21.3,239.0102,-63.2827,0000000100000000000000
270.52176,-35.6694,-35 40 09.8,18 02 05.222,164320.0,0.73,0.1,156.5,3.9,355.9289,-6.396,0000000000000100000000
270.0476,-35.6491,-35 38 56.8,18 00 11.426,163924.0,1.59,0.1,169.9,1.8,355.7582,-6.0495,0000000000000100000000
192.69571,-35.6343,-35 38 03.5,12 50 46.972,111608.0,0.06,0.066,62.6,28.8,302.7824,27.2372,0000000000001000000000
123.95236,-35.6313,-35 37 52.7,08 15 48.568,69464.0,0.44,0.1,147.3,6.5,253.6144,-0.3045,0000000000000100000000
