# 3FGL               RA             DEC        PD[frac]  AB   AV   AR
3FGLJ2318.6-3829 349.665802002 -38.4967002869 0.00153 0.072 0.055 0.043
3FGLJ2321.6-1619 350.405090332 -16.3313007355 0.00225 0.102 0.077 0.061
3FGLJ2327.2-4130 351.824798584 -41.5080986023 0.00126 0.060 0.046 0.036
3FGLJ2331.9-1609 352.991912842 -16.156999588 0.00207 0.095 0.072 0.057
3FGLJ2333.0-5525 353.26361084 -55.4264984131 0.00108 0.048 0.036 0.029
3FGLJ2335.6-2342 353.900512695 -23.7131004333 0.0018 0.082 0.062 0.049
3FGLJ2338.7+0251 354.694091797 2.85669994354 0.00657 0.299 0.226 0.179
3FGLJ2343.0-4748 355.763397217 -47.8019981384 0.00099 0.045 0.034 0.027
3FGLJ2344.9-5647 356.225402832 -56.7896995544 0.00108 0.047 0.035 0.028
3FGLJ2351.9-7601 357.981506348 -76.0300979614 0.00333 0.152 0.115 0.091
3FGLJ2354.4-6612 358.601898193 -66.2029037476 0.00189 0.085 0.064 0.051
3FGLJ2354.8-5245 358.702209473 -52.7634010315 0.00135 0.060 0.045 0.036
3FGLJ2358.6-1809 359.665893555 -18.1585006714 0.00207 0.092 0.069 0.055
