# 3FGL               RA             DEC        PD[frac]  AB   AV   AR
3FGLJ0846.8-2638 131.715606689 -26.6497993469 0.00801 0.363 0.274 0.217
3FGLJ0847.2-6936 131.807800293 -69.6129989624 0.009 0.410 0.310 0.245
3FGLJ0847.4-4327 131.86340332 -43.4586982727 0.29502 13.445 10.167 8.042
3FGLJ0848.2-4524 132.07119751 -45.4128990173 0.17001 7.748 5.859 4.635
3FGLJ0848.5+7018 132.131103516 70.3007965088 0.00252 0.115 0.087 0.069
3FGLJ0851.4-4244 132.865493774 -42.7477989197 0.2709 12.348 9.338 7.386
3FGLJ0854.4-4404 133.620498657 -44.076499939 0.21681 9.881 7.472 5.910
3FGLJ0854.8-4503 133.710800171 -45.0615997314 0.14967 6.820 5.157 4.080
3FGLJ0855.4-4818 133.854995728 -48.3162994385 0.08451 3.851 2.912 2.303
3FGLJ0855.4+7142 133.861495972 71.7123031616 0.00981 0.445 0.336 0.266
3FGLJ0856.4+6429 134.11000061 64.4845962524 0.0072 0.328 0.248 0.196
3FGLJ0857.6-4258 134.408798218 -42.9823989868 0.2691 12.262 9.272 7.335
3FGLJ0858.0-4834 134.518997192 -48.5690994263 0.16092 7.334 5.546 4.387
3FGLJ0858.6-4357 134.656692505 -43.9581985474 0.20907 9.529 7.206 5.700
3FGLJ0859.3-4732 134.846603394 -47.5491981506 2.92941 133.508 100.959 79.862
3FGLJ0900.0+6754 135.022399902 67.9136962891 0.00531 0.240 0.181 0.143
3FGLJ0901.0-6725 135.262207031 -67.4255981445 0.00801 0.365 0.276 0.218
3FGLJ0901.6-4700 135.404907227 -47.0013008118 0.04239 1.934 1.463 1.157
3FGLJ0903.0-4826 135.763198853 -48.4496002197 1.02996 46.940 35.496 28.078
3FGLJ0903.2-4744 135.814102173 -47.7429008484 0.32301 14.720 11.131 8.805
3FGLJ0905.6-4917 136.419692993 -49.2958984375 0.29295 13.352 10.097 7.987
3FGLJ0905.8-2127 136.457901001 -21.4610996246 0.01197 0.544 0.411 0.325
3FGLJ0906.0-4705 136.50630188 -47.0976982117 0.10863 4.951 3.744 2.962
3FGLJ0907.0-4802 136.75390625 -48.0429992676 0.16821 7.666 5.797 4.586
3FGLJ0914.5-4736 138.641098022 -47.6152000427 0.64791 29.531 22.332 17.665
3FGLJ0915.8-5110 138.964096069 -51.179901123 0.3123 14.234 10.764 8.515
3FGLJ0918.2-4859 139.573104858 -48.9891014099 0.24606 11.215 8.481 6.708
3FGLJ0919.4+6604 139.871200562 66.0751037598 0.01188 0.541 0.409 0.323
3FGLJ0919.5-2200 139.883407593 -22.005399704 0.00612 0.279 0.211 0.167
3FGLJ0921.6+2339 140.41569519 23.655500412 0.00261 0.121 0.092 0.073
3FGLJ0923.8-5154 140.965103149 -51.9039993286 0.65826 29.998 22.684 17.944
3FGLJ0928.3-5255 142.084594727 -52.9234008789 0.13671 6.233 4.714 3.729
3FGLJ0930.7+5133 142.687698364 51.5589981079 0.00135 0.063 0.048 0.038
3FGLJ0931.8+6739 142.967605591 67.6514968872 0.00648 0.294 0.222 0.176
3FGLJ0933.9-6232 143.481201172 -62.5337982178 0.02547 1.160 0.877 0.694
3FGLJ0935.1-1736 143.786605835 -17.6061992645 0.00576 0.263 0.199 0.157
3FGLJ0935.2+0903 143.801193237 9.05179977417 0.00315 0.145 0.110 0.087
3FGLJ0936.3-2114 144.099899292 -21.245300293 0.00531 0.241 0.182 0.144
3FGLJ0937.1-4544c 144.291900635 -45.7438011169 0.09144 4.169 3.153 2.494
3FGLJ0937.8-6407 144.475006104 -64.1220016479 0.02232 1.017 0.769 0.608
3FGLJ0937.9-1435 144.483306885 -14.5978002548 0.00486 0.220 0.166 0.131
3FGLJ0940.6-7609 145.164398193 -76.1607971191 0.02232 1.018 0.770 0.609
3FGLJ0941.0+6151 145.274505615 61.8660011292 0.0027 0.123 0.093 0.073
3FGLJ0946.2+5209 146.574203491 52.1505012512 0.00063 0.030 0.023 0.018
3FGLJ0948.1-3641 147.035995483 -36.6930999756 0.01521 0.692 0.523 0.414
3FGLJ0948.8-4243 147.203994751 -42.7210998535 0.02709 1.233 0.932 0.737
3FGLJ0950.4+7550 147.609603882 75.8495025635 0.00279 0.129 0.098 0.077
