col1,col2,_r,USNO-B1.0,Tycho-2,RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,Epoch,pmRA,pmDE,muPr,e_pmRA,e_pmDE,fit_RA,fit_DE,Ndet,Flags,B1mag,B1C,B1S,B1f,B1s/g,B1xi,B1eta,R1mag,R1C,R1S,R1f,R1s/g,R1xi,R1eta,B2mag,B2C,B2S,B2f,B2s/g,B2xi,B2eta,R2mag,R2C,R2S,R2f,R2s/g,R2xi,R2eta,Imag,IC,IS,If,Is/g,Ixi,Ieta,Separation
201.562291667,29.5587777778,2.21E-4,1195-0209684,,201.562439,29.558598,62,104,1976.7,0,0,0,0,0,1,2,5,..Y,19.22,1,0,324,4,-0.02,-0.27,18.71,1,1,324,8,0.14,-0.03,19.49,2,2,444,7,-0.19,-0.02,18.73,2,3,444,3,0.05,-0.02,18.14,2,7,444,,-0.01,0.3,2.2078148144148848E-4
201.705125,-52.9398888889,9.3E-5,0370-0457757,,201.70527,-52.939856,67,64,1984.2,0,0,0,0,0,1,1,4,...,,,,,,,,19.64,1,5,220,9,0.07,0.14,21.33,1,4,220,0,0.1,-0.02,15.83,2,6,173,10,-0.13,-0.04,17.18,1,8,220,,-0.07,-0.11,9.336893390138548E-5
201.753583333,22.1806111111,7.0E-5,1121-0254306,,201.75365,22.180645,75,101,1977.0,6,4,9,2,3,1,1,5,...,18.73,2,0,380,7,-0.01,0.09,17.66,2,1,380,8,0.0,-0.1,18.27,2,2,508,9,0.11,0.08,18.8,2,3,508,8,0.01,0.06,19.18,2,7,509,,-0.13,-0.14,7.042361786115868E-5
201.995666667,25.4628888889,6.2E-5,1154-0204737,,201.995606,25.462917,177,111,1977.3,0,0,0,0,0,3,2,5,...,20.46,2,0,380,1,0.02,-0.06,19.66,2,1,380,1,0.58,-0.26,20.41,2,2,509,1,-0.24,-0.14,19.41,2,3,509,9,-0.19,0.25,18.26,2,7,509,,-0.2,0.17,6.156646362746459E-5
202.329958333,-38.2384722222,4.9E-5,0517-0327442,,202.329956,-38.238423,135,56,1985.0,0,0,0,0,0,2,1,4,..Y,,,,,,,,10.95,0,5,324,10,-0.26,0.07,12.54,2,4,383,4,-0.12,-0.01,10.7,0,6,324,8,0.21,0.06,10.92,0,8,383,,0.14,-0.13,4.925629699179823E-5
202.589666667,44.6889722222,7.3E-5,1346-0243715,,202.589659,44.689045,79,56,1986.1,0,0,0,0,0,1,1,4,...,19.77,1,0,174,8,0.13,-0.02,,,,,,,,19.64,1,2,270,9,-0.12,0.12,19.13,1,3,270,9,-0.11,-0.03,17.96,1,7,270,,0.08,-0.1,7.298163244655713E-5
202.607125,70.0280555556,6.52E-4,1600-0100445,,202.607609,70.027425,63,73,1979.4,0,0,0,0,0,1,1,5,..Y,17.64,2,0,41,9,-0.05,-0.14,17.3,2,1,41,2,0.18,0.12,17.31,2,2,66,2,-0.1,-0.16,16.7,2,3,66,2,0.05,0.03,17.08,2,7,66,,-0.11,0.14,6.518667425752901E-4
202.889333333,17.2140833333,3.1E-5,1072-0264077,,202.889303,17.214073,114,79,1977.5,0,0,0,0,0,2,1,5,..Y,17.36,2,0,438,4,0.39,0.0,17.23,2,1,438,10,-0.12,-0.23,18.47,2,2,576,8,-0.07,0.2,18.34,2,3,576,8,-0.13,-0.02,17.64,2,7,576,,-0.1,0.04,3.0761737077382154E-5
203.188541667,47.3729722222,1.06E-4,1373-0291345,,203.188548,47.373078,173,63,1979.5,2,6,8,6,2,2,0,5,..Y,18.99,1,0,174,7,-0.27,0.04,18.83,1,1,174,9,0.26,-0.05,18.94,1,2,270,2,0.04,0.08,18.57,1,3,220,2,-0.04,-0.09,18.25,1,7,220,,-0.02,-0.01,1.0586471180255498E-4
203.018583333,-5.16202777778,1.5E-5,0848-0246442,,203.018598,-5.162023,71,41,1976.9,0,0,0,0,0,1,0,5,..Y,18.28,1,0,678,9,0.23,0.06,18.36,1,1,678,9,-0.03,0.02,18.08,1,4,791,7,-0.08,-0.02,18.37,1,5,791,1,-0.02,-0.13,18.35,2,8,792,,-0.11,0.06,1.536901608352285E-5
203.163541667,-12.9375833333,5.4E-5,0770-0326293,,203.163545,-12.937637,117,138,1977.3,0,0,0,0,0,2,3,5,...,19.32,1,0,740,8,0.11,0.21,18.73,1,1,740,9,0.21,-0.2,21.9,1,4,719,8,-0.27,-0.32,20.89,1,5,719,2,-0.23,0.32,18.76,1,8,720,,0.15,-0.02,5.3764920960939504E-5
203.281208333,27.4217777778,8.4E-5,1174-0266912,,203.281284,27.421828,197,92,1976.7,6,8,8,6,2,3,1,5,...,20.39,1,0,324,8,0.22,-0.13,19.47,1,1,324,3,-0.2,0.11,20.87,2,2,444,8,-0.2,0.0,19.58,2,3,444,2,-0.07,0.07,18.63,2,7,444,,0.23,-0.07,8.386546450514921E-5
203.474083333,50.9599722222,8.5E-5,1409-0238482,,203.474023,50.960048,103,165,1973.1,0,0,0,0,0,1,2,2,...,20.83,1,0,133,8,0.1,0.16,,,,,,,,21.12,1,2,220,8,-0.11,-0.17,,,,,,,,,,,,,,,8.47725735558904E-5
203.873958333,-29.8441666667,1.6E-4,0601-0298360,,203.874084,-29.84405,108,131,1982.9,16,4,9,4,5,1,1,4,...,20.03,1,0,913,8,0.06,0.07,,,,,,,,20.12,1,4,444,9,-0.11,-0.15,19.08,1,6,444,8,-0.04,0.08,18.3,1,8,444,,0.08,-0.02,1.5966345103757875E-4
204.41575,-12.9568611111,3.8E-5,0770-0328195,,204.41577,-12.956828,105,37,1977.1,2,8,9,3,1,1,0,5,..Y,18.65,1,0,740,7,0.12,0.03,17.8,1,1,740,3,-0.12,-0.03,17.11,1,4,720,9,-0.02,-0.02,16.22,1,5,720,8,-0.08,0.04,15.27,1,8,720,,0.08,-0.04,3.8421811786792244E-5
204.316916667,65.5461944444,5.3E-5,1555-0154891,,204.316956,65.546245,47,48,1978.9,4,2,9,1,1,0,0,5,..Y,19.2,2,0,67,8,-0.01,0.06,18.83,2,1,67,2,-0.01,-0.06,20.22,2,2,97,2,0.05,0.04,19.6,2,3,97,2,0.03,-0.03,18.74,2,7,97,,-0.08,-0.03,5.3112902432344674E-5
