|             null|         null|        null|                 null|        null|        null|          null|          null|  null|           null|           null|       null|       null|       null|         null|            null|      null|          null|    null|        null|    null|       null|                 null|        null|        null|       null|  null|             null|       null|     null|     null|      null|    null|       null|       null|       null|        null|        null|       null|           null|        null|
   55505.390347200        19.444        0.092        38312080004498   35.3623290   25.2426960   02h21m26.96s   25d14m33.71s      2               0    2.940302e-07         174         169         165        19.554            0.014     19.777         19.779   19.789       19.794    0.235       0.235        10751639002493   35.3622820   25.2426330        3831      8   55505.396017200         600    19.447    21.414     27.949    2.050       2.315           0      131072            0            1    10751639        0.089504   161.263523 
   55505.108537200        19.435        0.110        38312080004498   35.3623290   25.2426960   02h21m26.96s   25d14m33.71s      2               0    2.940302e-07         174         169         165        19.554            0.014     19.777         19.779   19.789       19.794    0.235       0.235        10751685001788   35.3623120   25.2427570        3831      8   55505.114207200         600    19.386    20.591     27.827    3.450       4.596           0      131072            0            1    10751685        0.089504   161.263523 
   55505.196227200        19.661        0.094        38312080004498   35.3623290   25.2426960   02h21m26.96s   25d14m33.71s      2               0    2.940302e-07         174         169         165        19.554            0.014     19.777         19.779   19.789       19.794    0.235       0.235        10751735002161   35.3622430   25.2426940        3831      8   55505.201897200         600    19.643    21.045     27.918    3.050       3.380           0      131072            0            1    10751735        0.089504   161.263523 
   55505.470927200        19.407        0.072        38312080004498   35.3623290   25.2426960   02h21m26.96s   25d14m33.71s      2               0    2.940302e-07         174         169         165        19.554            0.014     19.777         19.779   19.789       19.794    0.235       0.235        10751737002351   35.3622590   25.2426600        3831      8   55505.476597200         600    19.411    21.287     27.909    2.050       2.318           0      131072            0            1    10751737        0.089504   161.263523 
   55505.277577200        19.657        0.081        38312080004498   35.3623290   25.2426960   02h21m26.96s   25d14m33.71s      2               0    2.940302e-07         174         169         165        19.554            0.014     19.777         19.779   19.789       19.794    0.235       0.235        10751835002196   35.3621490   25.2425800        3831      8   55505.283247200         600    19.651    21.108     27.946    3.150       3.344           0      131072            0            1    10751835        0.089504   161.263523 
   55483.438467200        19.653        0.066        38312080004498   35.3623290   25.2426960   02h21m26.96s   25d14m33.71s      2               0    2.940302e-07         174         169         165        19.554            0.014     19.777         19.779   19.789       19.794    0.235       0.235        10854118002779   35.3622490   25.2426450        3831      8   55483.443757200         577    19.650    21.636     27.914    2.050       2.338           0      131072            0            1    10854118        0.089504   161.263523 
   55483.388857200        19.554        0.058        38312080004498   35.3623290   25.2426960   02h21m26.96s   25d14m33.71s      2               0    2.940302e-07         174         169         165        19.554            0.014     19.777         19.779   19.789       19.794    0.235       0.235        10854346002961   35.3622650   25.2426630        3831      8   55483.394137200         577    19.558    21.776     27.939    1.950       2.075           0      131072            0            1    10854346        0.089504   161.263523 
   55446.446747200        19.415        0.051        38312080004498   35.3623290   25.2426960   02h21m26.96s   25d14m33.71s      2               0    2.940302e-07         174         169         165        19.554            0.014     19.777         19.779   19.789       19.794    0.235       0.235        10911977003142   35.3622830   25.2426270        3831      8   55446.449787200         541    19.418    22.009     27.940    1.750       2.106           0      131072            0            1    10911977        0.089504   161.263523 
   55446.490057200        19.592        0.053        38312080004498   35.3623290   25.2426960   02h21m26.96s   25d14m33.71s      2               0    2.940302e-07         174         169         165        19.554            0.014     19.777         19.779   19.789       19.794    0.235       0.235        10912051003159   35.3622780   25.2426300        3831      8   55446.493097200         541    19.583    22.004     27.935    1.750       1.690           0      131072            0            1    10912051        0.089504   161.263523 
   55443.457747200        19.551        0.057        38312080004498   35.3623290   25.2426960   02h21m26.96s   25d14m33.71s      2               0    2.940302e-07         174         169         165        19.554            0.014     19.777         19.779   19.789       19.794    0.235       0.235        10917810002865   35.3622500   25.2426950        3831      8   55443.460537200         538    19.548    21.771     27.954    1.950       1.883           0      131072            0            1    10917810        0.089504   161.263523 
   55443.412087200        19.509        0.055        38312080004498   35.3623290   25.2426960   02h21m26.96s   25d14m33.71s      2               0    2.940302e-07         174         169         165        19.554            0.014     19.777         19.779   19.789       19.794    0.235       0.235        10917828002895   35.3623020   25.2426810        3831      8   55443.414877200         538    19.504    21.710     27.949    2.050       2.095           0      131072            0            1    10917828        0.089504   161.263523 
   55452.506497200        19.532        0.057        38312080004498   35.3623290   25.2426960   02h21m26.96s   25d14m33.71s      2               0    2.940302e-07         174         169         165        19.554            0.014     19.777         19.779   19.789       19.794    0.235       0.235        10934727003082   35.3622000   25.2426380        3831      8   55452.510007200         547    19.555    21.902     27.983    1.750       2.189           0      131072            0            1    10934727        0.089504   161.263523 
   55452.456787200        19.620        0.055        38312080004498   35.3623290   25.2426960   02h21m26.96s   25d14m33.71s      2               0    2.940302e-07         174         169         165        19.554            0.014     19.777         19.779   19.789       19.794    0.235       0.235        10934746003029   35.3622810   25.2426160        3831      8   55452.460297200         547    19.643    21.888     27.985    1.850       1.990           0      131072            0            1    10934746        0.089504   161.263523 
