#  Ignore the first 4 columns because those are p and m from data directly and from an optimizer without an error. The relevant columns are 
#  p_o,sigma_p_low,sigma_p_high,plimit,m,sigma_m_low,sigma_m_high,mlimit
#sourcename data_p data_m opt_p opt_m p_o sigma_p_low sigma_p_high plimit m sigma_m_low sigma_m_high mlimit Nobs
RBPLJ1849+6705 0.0668 NA NA NA NA NA NA NA NA NA NA NA 1 
RBPLJ1850+2825 0.02166667 0.5216474 NA NA NA NA NA NA NA NA NA NA 3 
RBPLJ1852+4855 NaN NA NA NA NA NA NA NA NA NA NA NA 0 
RBPLJ1854+7351 0.0141125 0.5362678 0.01135903 0.02216397 0.011 0.001 0.002 NA 0.016 NA NA 0.897 16 
RBPLJ1903+5540 0.09257037 0.289697 0.09216479 0.2980987 0.092 0.005 0.006 NA 0.298 0.038 0.048 NA 27 
RBPLJ1911-1908 0.0482 NA NA NA NA NA NA NA NA NA NA NA 1 
RBPLJ1918+4937 0.01273333 0.3419914 NA NA NA NA NA NA NA NA NA NA 3 
RBPLJ1923-2104 0.0245 NA NA NA NA NA NA NA NA NA NA NA 1 
RBPLJ1927+6117 0.086212 0.4636395 0.08140787 0.4004159 0.081 0.006 0.008 NA 0.401 0.065 0.08 NA 25 
RBPLJ1927+7358 0.01956923 0.2433716 0.02009635 0.01488874 0.02 0.001 0.001 NA 0.014 NA NA 0.284 13 
RBPLJ1941-0211 0.0106 0.4960237 NA NA NA NA NA NA NA NA NA NA 5 
RBPLJ1943+2118 0.017725 0.3456809 NA NA NA NA NA NA NA NA NA NA 4 
RBPLJ1955+5131 0.0207 0.0683195 NA NA NA NA NA NA NA NA NA NA 2 
RBPLJ1959+6508 0.05147143 0.3147464 0.05044551 0.2724996 0.05 0.002 0.003 NA 0.273 0.039 0.046 NA 35 
RBPLJ2000-1748 0.1265 NA NA NA NA NA NA NA NA NA NA NA 1 
RBPLJ2001+4352 0.160575 0.2109184 0.1599638 0.1960493 0.16 0.008 0.008 NA 0.196 0.033 0.044 NA 16 
